aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
abrutschen, rutsche ab, rutscht ab, rutschte ab, rutschte ab, rutsch ab, rutscht ab, sein, abgerutscht
abräumen, räume ab, räumt ab, räumte ab, räumte ab, räume ab, räumt ab, haben, abgeräumt
abrücken, rücke ab, rückt ab, rückte ab, rückte ab, rück ab, rückt ab, sein, abgerückt
abrüsten, rüste ab, rüstet ab, rüstete ab, rüstete ab, rüst ab, rüstet ab, haben, abgerüstet
absacken, sacke ab, sackt ab, sackte ab, sackte ab, sack ab, sackt ab, haben, abgesackt
absacken, sacke ab, sackt ab, sackte ab, sackte ab, sack ab, sackt ab, sein, abgesackt
absagen, sage ab, sagt ab, sagte ab, sagte ab, sage ab, sagt ab, haben, abgesagt
absahnen, sahne ab, sahnt ab, sahnte ab, sahnte ab, sahne ab, sahnt ab, haben, abgesahnt
absaugen, sauge ab, saugt ab, sog ab, söge ab, saug ab, saugt ab, haben, abgesogen
absaven, save ab, savt ab, savte ab, savte ab, save ab, savt ab, haben, abgesavt
abschachern, schachere ab, schachert ab, schacherte ab, schacherte ab, schachere ab, schachert ab, haben, abgeschachert
abschaffen, schaffe ab, schafft ab, schaffte ab, schaffte ab, schaffe ab, schafft ab, haben, abgeschafft
abschalten, schalte ab, schaltet ab, schaltete ab, schaltete ab, schalt ab, schaltet ab, haben, abgeschaltet
abschauen, schau ab, schaut ab, schaute ab, schaute ab, schau ab, schaut ab, haben, abgeschaut
abscheiden, scheide ab, scheidet ab, schied ab, schiede ab, scheid ab, scheidet ab, haben, abgeschieden
abschenken, schenke ab, schenkt ab, schenkte ab, schenkte ab, schenk ab, schenkt ab, haben, abgeschenkt
abschicken, schicke ab, schickt ab, schickte ab, schickte ab, schick ab, schickt ab, haben, abgeschickt
abschieben, schiebe ab, schiebt ab, schob ab, schöbe ab, schiebe ab, schiebt ab, haben, abgeschoben
abschieben, schiebe ab, schiebt ab, schob ab, schöbe ab, schiebe ab, schiebt ab, sein, abgeschoben
abschießen, schieße ab, schießt ab, schoss ab, schösse ab, schieß ab, schießt ab, haben, abgeschossen
abschirmen, schirme ab, schirmt ab, schirmte ab, schirmte ab, schirm ab, schirmt ab, haben, abgeschirmt
abschlachten, schlachte ab, schlachtet ab, schlachtete ab, schlachtete ab, schlachte ab, schlachtet ab, haben, abgeschlachtet
abschlagen, schlage ab, schlägt ab, schlug ab, schlüge ab, schlag ab, schlagt ab, haben, abgeschlagen
abschleppen, schleppe ab, schleppt ab, schleppte ab, schleppte ab, schleppe ab, schleppt ab, haben, abgeschleppt
abschließen, schließe ab, schließt ab, schloss ab, schlösse ab, schließ ab, schließt ab, haben, abgeschlossen
abschmecken, schmecke ab, schmeckt ab, schmeckte ab, schmeckte ab, schmeck ab, schmeckt ab, haben, abgeschmeckt
abschmettern, schmettere ab, schmettert ab, schmetterte ab, schmetterte ab, schmetter ab, schmettert ab, haben, abgeschmettert
abschmieren, schmiere ab, schmiert ab, schmierte ab, schmierte ab, schmier ab, schmiert ab, sein, abgeschmiert
abschminken, schminke ab, schminkt ab, schminkte ab, schminkte ab, schminke ab, schminkt ab, haben, abgeschminkt
abschmirgeln, schmirgele ab, schmirgelt ab, schmirgelte ab, schmirgelte ab, schmirgele ab, schmirgelt ab, haben, abgeschmirgelt
abschmücken, schmücke ab, schmückt ab, schmückte ab, schmückte ab, schmück ab, schmückt ab, haben, abgeschmückt
abschneiden, schneide ab, schneidet ab, schnitt ab, schnitte ab, schneide ab, schneidet ab, haben, abgeschnitten
abschotten, schotte ab, schottet ab, schottete ab, schottete ab, schott ab, schottet ab, haben, abgeschottet
abschrecken, schrecke ab, schreckt ab, schreckte ab, schreckte ab, schreck ab, schreckt ab, haben, abgeschreckt
abschreiben, schreibe ab, schreibt ab, schrieb ab, schriebe ab, schreib ab, schreibt ab, haben, abgeschrieben
abschwellen, schwelle ab, schwillt ab, schwoll ab, schwölle ab, schwill ab, schwellt ab, sein, abgeschwollen
abschwächen, schwäche ab, schwächt ab, schwächte ab, schwächte ab, schwäch ab, schwächt ab, haben, abgeschwächt
abschwören, schwöre ab, schwört ab, schwor ab, schwüre ab, schwör ab, schwört ab, haben, abgeschworen
abschälen, schäle ab, schält ab, schälte ab, schälte ab, schäl ab, schält ab, haben, abgeschält
abschärfen, schärfe ab, schärft ab, schärfte ab, schärfte ab, schärfe ab, schärft ab, haben, abgeschärft
abschöpfen, schöpfe ab, schöpft ab, schöpfte ab, schöpfte ab, schöpf ab, schöpft ab, haben, abgeschöpft
absegeln, segle ab, segelt ab, segelte ab, segelte ab, segle ab, segelt ab, haben, abgesegelt
absegnen, segne ab, segnet ab, segnete ab, segnete ab, segne ab, segnet ab, haben, abgesegnet
absehen, sehe ab, sieht ab, sah ab, sähe ab, sieh ab, seht ab, haben, abgesehen
abseihen, seihe ab, seiht ab, seihte ab, seihte ab, seih ab, seiht ab, haben, abgeseiht
abseilen, seile ab, seilt ab, seilte ab, seilte ab, seil ab, seilt ab, haben, abgeseilt
absenden, sende ab, sendet ab, sendete ab, sendete ab, send ab, sendet ab, haben, abgesendet
absentieren, absentiere, absentiert, absentierte, absentierte, absentier, absentiert, haben, absentiert
absetzen, setze ab, setzt ab, setzte ab, setzte ab, setz ab, setzt ab, haben, abgesetzt
absichern, sichere ab, sichert ab, sicherte ab, sicherte ab, sichere ab, sichert ab, haben, abgesichert
absolvieren, absolviere, absolviert, absolvierte, absolvierte, absolviere, absolviert, haben, absolviert
absondern, sondere ab, sondert ab, sonderte ab, sonderte ab, sondere ab, sondert ab, haben, abgesondert
absorbieren, absorbiere, absorbiert, absorbierte, absorbierte, absorbiere, absorbiert, haben, absorbiert
abspalten, spalte ab, spaltet ab, spaltete ab, spaltete ab, spalt ab, spaltet ab, haben, abgespalten
abspannen, spanne ab, spannt ab, spannte ab, spannte ab, spann ab, spannt ab, haben, abgespannt
abspecken, specke ab, speckt ab, speckte ab, speckte ab, speck ab, speckt ab, haben, abgespeckt
abspeichern, speichere ab, speichert ab, speicherte ab, speicherte ab, speichere ab, speichert ab, haben, abgespeichert
abspicken, spicke ab, spickt ab, spickte ab, spickte ab, spick ab, spickt ab, haben, abgespickt
abspinnen, spinne ab, spinnt ab, spann ab, spänne ab, spinn ab, spinnt ab, haben, abgesponnen
absporen, —, sport ab, sporte ab, sporte ab, —, —, haben, abgesport
absprechen, spreche ab, spricht ab, sprach ab, spräche ab, sprich ab, sprecht ab, haben, abgesprochen
abspringen, springe ab, springt ab, sprang ab, spränge ab, spring ab, springt ab, sein, abgesprungen
abspritzen, spritze ab, spritzt ab, spritzte ab, spritzte ab, spritz ab, spritzt ab, haben, abgespritzt
abspulen, spule ab, spult ab, spulte ab, spulte ab, spul ab, spult ab, haben, abgespult
abspülen, spüle ab, spült ab, spülte ab, spülte ab, spüle ab, spült ab, haben, abgespült
abstammen, stamme ab, stammt ab, stammte ab, stammte ab, stamm ab, stammt ab, sein, abgestammt
abstauben, staube ab, staubt ab, staubte ab, staubte ab, staube ab, staubt ab, haben, abgestaubt
abstecken, stecke ab, steckt ab, steckte ab, steckte ab, stecke ab, steckt ab, haben, abgesteckt
absteigen, steige ab, steigt ab, stieg ab, stiege ab, steig ab, steigt ab, sein, abgestiegen
abstellen, stelle ab, stellt ab, stellte ab, stellte ab, stell ab, stellt ab, haben, abgestellt
abstempeln, stemple ab, stempelt ab, stempelte ab, stempelte ab, stemple ab, stempelt ab, haben, abgestempelt
absterben, sterbe ab, stirbt ab, starb ab, stürbe ab, stirb ab, sterbt ab, sein, abgestorben
abstillen, stille ab, stillt ab, stillte ab, stillte ab, stille ab, stillt ab, haben, abgestillt
abstimmen, stimme ab, stimmt ab, stimmte ab, stimmte ab, stimm ab, stimmt ab, haben, abgestimmt
abstottern, stottere ab, stottert ab, stotterte ab, stotterte ab, stotter ab, stottert ab, haben, abgestottert
abstoßen, stoße ab, stößt ab, stieß ab, stieße ab, stoße ab, stoßt ab, haben, abgestoßen
abstrafen, strafe ab, straft ab, strafte ab, strafte ab, straf ab, straft ab, haben, abgestraft
abstrahieren, abstrahiere, abstrahiert, abstrahierte, abstrahierte, abstrahiere, abstrahiert, haben, abstrahiert
abstreiten, streite ab, streitet ab, stritt ab, stritte ab, streite ab, streitet ab, haben, abgestritten
abstürzen, stürze ab, stürzt ab, stürzte ab, stürzte ab, stürz ab, stürzt ab, sein, abgestürzt
abstützen, stütze ab, stützt ab, stützte ab, stützte ab, stütze ab, stützt ab, haben, abgestützt
absägen, säge ab, sägt ab, sägte ab, sägte ab, säg ab, sägt ab, haben, abgesägt
abtakeln, takle ab, takelt ab, takelte ab, takelte ab, takel ab, takelt ab, haben, abgetakelt
abtauchen, tauche ab, taucht ab, tauchte ab, tauchte  ab, tauch ab, taucht ab, sein, abgetaucht
abtauen, taue ab, taut ab, taute ab, taute ab, tau ab, taut ab, haben, abgetaut
abtauschen, tausche ab, tauscht ab, tauschte ab, tauschte ab, tausch ab, tauscht ab, haben, abgetauscht
abteilen, teile ab, teilt ab, teilte ab, teilte ab, teil ab, teilt ab, haben, abgeteilt
abtelefonieren, telefoniere ab, telefoniert ab, telefonierte ab, telefonierte ab, telefoniere ab, telefoniert ab, haben, abtelefoniert
abteufen, teufe ab,  teuft ab,  teufte ab, teufte ab, teuf ab, teuft ab, haben, abgeteuft
abtragen, trage ab, trägt ab, trug ab, trüge, trag ab, tragt ab, haben, abgetragen
abtransportieren, transportiere ab, transportiert ab, transportierte ab, transportierte ab, transportiere ab, transportiert ab, haben, abtransportiert
abtreiben, treibe ab, treibt ab, trieb ab, triebe ab, treibe ab, treibt ab, haben, abgetrieben
abtrennen, trenne ab, trennt ab, trennte ab, trennte ab, trenn ab, trennt ab, haben, abgetrennt
abtreten, trete ab, tritt ab, trat ab, träte ab, tritt ab, tretet ab, haben, abgetreten
abtrocknen, trockne ab, trocknet ab, trocknete ab, trocknete ab, trockne ab, trocknet ab, haben, abgetrocknet
abtropfen, tropfe ab, tropft ab, tropfte ab, tropfte ab, tropfe ab, tropft ab, sein, abgetropft
abtun, tue ab, tut ab, tat ab, täte ab, tu ab, tut ab, haben, abgetan
abtupfen, tupfe ab, tupft ab, tupfte ab, tupfte ab, tupfe ab, tupft ab, haben, abgetupft
abtörnen, törne ab, törnt ab, törnte ab, törnte ab, törn ab, törnt ab, haben, abgetörnt
abwandern, wandere ab, wandert ab, wanderte ab, wanderte ab, wandere ab, wandert ab, sein, abgewandert
abwarten, warte ab, wartet ab, wartete ab, wartete ab, wart ab, wartet ab, haben, abgewartet
abwaschen, wasche ab, wäscht ab, wusch ab, wüsche ab, wasch ab, wascht ab, haben, abgewaschen
abwechseln, wechsel ab, wechselt ab, wechselte ab, wechselte ab, wechsel ab, wechselt ab, haben, abgewechselt
abwehren, wehre ab, wehrt ab, wehrte ab, wehrte ab, wehr ab, wehrt ab, haben, abgewehrt
abweichen, weiche ab, weicht ab, wich ab, wiche ab, weich ab, weicht ab, sein, abgewichen
abweisen, weise ab, weist ab, wies ab, wiese ab, weise ab, weist ab, haben, abgewiesen
abwenden, wende ab, wendet ab, wendete ab, wendete ab, wende ab, wendet ab, haben, abgewendet
abwerfen, werfe ab, wirft ab, warf ab, würfe ab, wirf ab, werft ab, haben, abgeworfen
abwerten, werte ab, wertet ab, wertete ab, wertete ab, wert ab, wertet ab, haben, abgewertet
abwetzen, wetze ab, wetzt ab, wetzte ab, wetzte ab, wetz ab, wetzt ab, haben, abgewetzt
abwickeln, wickele ab, wickelt ab, wickelte ab, wickelte ab, wickle ab, wickelt ab, haben, abgewickelt
abwiegeln, wiegele ab, wiegelt ab, wiegelte ab, wiegelte ab, wiegle ab, wiegelt ab, haben, abgewiegelt
abwiegen, wiege ab, wiegt ab, wog ab, wöge ab, wieg ab, wiegt ab, haben, abgewogen
abwinken, winke ab, winkt ab, winkte ab, winkte ab, wink ab, winkt ab, haben, abgewinkt
abwischen, wische ab, wischt ab, wischte ab, wischte ab, wisch ab, wischt ab, haben, abgewischt
abwohnen, wohne ab, wohnt ab, wohnte ab, wohnte ab, wohn ab, wohnt ab, haben, abgewohnt
abwracken, wracke ab, wrackt ab, wrackte ab, wrackte ab, wrack ab, wrackt ab, haben, abgewrackt
abwägen, wäge ab, wägt ab, wog ab, wöge ab, wäge ab, wägt ab, haben, abgewogen
abwählen, wähle ab, wählt ab, wählte ab, wählte ab, wähl ab, wählt ab, haben, abgewählt
abwärtsfahren, fahre abwärts, fährt abwärts, fuhr abwärts, führe abwärts, fahr abwärts, fahrt abwärts, sein, abwärtsgefahren
abwürgen, würge ab, würgt ab, würgte ab, würgte ab, würge ab, würgt ab, haben, abgewürgt
abzeichnen, zeichne ab, zeichnet ab, zeichnete ab, zeichnete ab, zeichne ab, zeichnet ab, haben, abgezeichnet
abziehen, ziehe ab, zieht ab, zog ab, zöge ab, ziehe ab, zieht ab, haben, abgezogen
abzielen, ziele ab, zielt ab, zielte ab, zielte ab, ziele ab, zielt ab, haben, abgezielt
abzischen, zische ab, zischt ab, zischte ab, zischte ab, zische ab, zischt ab, sein, abgezischt
abzocken, zocke ab, zockt ab, zockte ab, zockte ab, zocke ab, zockt ab, haben, abgezockt
abzwacken, zwacke ab, zwackt ab, zwackte ab, zwackte ab, zwack ab, zwackt ab, haben, abgezwackt
abzwitschern, zwitschere ab, zwitschert ab, zwitscherte ab, zwitscherte ab, zwitschere ab, zwitschert ab, sein, abgezwitschert
abzählen, zähle ab, zählt ab, zählte ab, zählte ab, zähl ab, zählt ab, haben, abgezählt
abzäumen, zäume ab, zäumt ab, zäumte ab, zäumte ab, zäume ab, zäumt ab, haben, abgezäumt
abzäunen, zäune ab, zäunt ab, zäunte ab, zäunte ab, zäune ab, zäunt ab, haben, abgezäunt
abächzen, ächze ab, ächzt ab, ächzte ab, ächzte ab, ächz ab, ächzt ab, haben, abgeächzt
abälardisieren, abälardisiere, abälardisiert, abälardisierte, abälardisierte, abälardisier, abälardisiert, haben, abälardisiert
abändern, ändre ab, ändert ab, änderte ab, änderte ab, ändre ab, ändert ab, haben, abgeändert
abängstigen, ängstige ab, ängstigt ab, ängstigte ab, ängstigte ab, ängstige ab, ängstigt ab, haben, abgeängstigt
abärgern, ärgere ab, ärgert ab, ärgerte ab, ärgerte ab, ärgere ab, ärgert ab, haben, abgeärgert
abäsen, —, äst ab, äste ab, äste ab, —, —, haben, abgeäst
abästen, äste ab, ästet ab, ästete ab, ästete ab, äst ab, ästet ab, haben, abgeästet
abätzen, ätze ab, ätzt ab, ätzte ab, ätzte ab, ätz ab, ätzt ab, haben, abgeätzt
acetylieren, acetyliere, acetyliert, acetylierte, acetylierte, acetylier, acetyliert, haben, acetyliert
acheln, achele, achelt, achelte, achelte, achele, achelt, haben, geachelt
achten, achte, achtet, achtete, achtete, achte, achtet, haben, geachtet
achtgeben, gebe acht, gibt acht, gab acht, gäbe acht, gib acht, gebt acht, haben, achtgegeben
ackern, ackere, ackert, ackerte, ackerte, ackere, ackert, haben, geackert
adaptieren, adaptiere, adaptiert, adaptierte, adaptierte, adaptier, adaptiert, haben, adaptiert
adden, adde, addet, addete, addete, adde, addet, haben, geaddet
addieren, addiere, addiert, addierte, addierte, addier, addiert, haben, addiert
adeln, adele, adelt, adelte, adelte, adele, adelt, haben, geadelt
adjungieren, adjungiere, adjungiert, adjungierte, adjungierte, adjungiere, adjungiert, haben, adjungiert
adjustieren, adjustiere, adjustiert, adjustierte, adjustierte, adjustier, adjustiert, haben, adjustiert
adoptieren, adoptiere, adoptiert, adoptierte, adoptierte, adoptiere, adoptiert, haben, adoptiert
adorieren, adoriere, adoriert, adorierte, adorierte, adorier, adoriert, haben, adoriert
adressieren, adressiere, adressiert, adressierte, adressierte, adressiere, adressiert, haben, adressiert
adsorbieren, adsorbiere, adsorbiert, adsorbierte, adsorbierte, adsorbiere, adsorbiert, haben, adsorbiert
adstringieren, —, adstringiert, adstringierte, adstringierte, —, —, haben, adstringiert
aerifizieren, aerifiziere, aerifiziert, aerifizierte, aerifizierte, aerifizier, aerifiziert, haben, aerifiziert
affichieren, affichiere, affichiert, affichierte, affichierte, affichiere, affichiert, haben, affichiert
affigieren, affigiere, affigiert, affigierte, affigierte, affigiere, affigiert, haben, affigiert
affizieren, affiziere, affiziert, affizierte, affizierte, affiziere, affiziert, haben, affiziert
aggravieren, aggraviere, aggraviert, aggravierte, aggravierte, aggravier, aggraviert, haben, aggraviert
aggregieren, aggregiere, aggregiert, aggregierte, aggregierte, aggregiere, aggregiert, haben, aggregiert
agieren, agiere, agiert, agierte, agierte, agiere, agiert, haben, agiert
agitieren, agitiere, agitiert, agitierte, agitierte, agitiere, agitiert, haben, agitiert
ahnden, ahnde, ahndet, ahndete, ahndete, ahnde, ahndet, haben, geahndet
ahnen, ahne, ahnt, ahnte, ahnte, ahne, ahnt, haben, geahnt
airbrushen, airbrushe, airbrusht, airbrushte, airbrushte, airbrush, airbrusht, haben, geairbrusht
akkommodieren, akkommodiere, akkommodiert, akkommodierte, akkommodierte, akkommodiere, akkommodiert, haben, akkommodiert
akkordieren, akkordiere, akkordiert, akkordierte, akkordierte, akkordier, akkordiert, haben, akkordiert
akkreditieren, akkreditiere, akkreditiert, akkreditierte, akkreditierte, akkreditier, akkreditiert, haben, akkreditiert
akkulturieren, akkulturiere, akkulturiert, akkulturierte, akkulturierte, akkulturier, akkulturiert, haben, akkulturiert
akkumulieren, akkumuliere, akkumuliert, akkumulierte, akkumulierte, akkumulier, akkumuliert, haben, akkumuliert
akquirieren, akquiriere, akquiriert, akquirierte, akquirierte, akquiriere, akquiriert, haben, akquiriert
aktivieren, aktiviere, aktiviert, aktivierte, aktivierte, aktiviere, aktiviert, haben, aktiviert
aktualisieren, aktualisiere, aktualisiert, aktualisierte, aktualisierte, aktualisiere, aktualisiert, haben, aktualisiert
akzentuieren, akzentuiere, akzentuiert, akzentuierte, akzentuierte, akzentuiere, akzentuiert, haben, akzentuiert
akzeptieren, akzeptiere, akzeptiert, akzeptierte, akzeptierte, akzeptier, akzeptiert, haben, akzeptiert
alarmieren, alarmiere, alarmiert, alarmierte, alarmierte, alarmier, alarmiert, haben, alarmiert
alimentieren, alimentiere, alimentiert, alimentierte, alimentierte, alimentiere, alimentiert, haben, alimentiert
aliquotieren, aliquotiere, aliquotiert, aliquotierte, aliquotierte, aliquotiere, aliquotiert, haben, aliquotiert
alleinstehen, stehe allein, steht allein, stand allein, stände allein, steh allein, steht allein, haben, alleingestanden
allemachen, mache alle, macht alle, machte alle, machte alle, mach alle, macht alle, haben, allegemacht
allergisieren, allergisiere, allergisiert, allergisierte, allergisierte, allergisier, allergisiert, haben, allergisiert
alliterieren, alliteriere, alliteriert, alliterierte, alliterierte, alliterier, alliteriert, haben, alliteriert
allokieren, allokiere, allokiert, allokierte, allokierte, allokiere, allokiert, haben, allokiert
allozieren, alloziere, alloziert, allozierte, allozierte, allozier, alloziert, haben, alloziert
almen, alme, almt, almte, almte, alm, almt, haben, gealmt
alphabetisieren, alphabetisiere, alphabetisiert, alphabetisierte, alphabetisierte, alphabetisiere, alphabetisiert, haben, alphabetisiert
